product_category_name,revenue,units,orders,products,AOV,revenue_share_pct
agro_industria_e_comercio,72530.47,212,182,74,398.51906593406596,0.5336401659793364
alimentos,29393.41,510,450,82,65.31868888888889,0.21626089271307197
alimentos_bebidas,15179.48,278,227,104,66.86995594713656,0.11168244500111492
artes,24202.64,209,202,55,119.8150495049505,0.1780700004665367
artes_e_artesanato,1814.01,24,23,19,78.87,0.013346509370312586
artigos_de_festas,4485.18,43,39,26,115.00461538461539,0.03299954073987387
artigos_de_natal,8800.82,153,128,65,68.75640625,0.064751697397718
audio,50688.5,364,350,58,144.8242857142857,0.37293870497797116
automotivo,592720.11,4235,3897,1900,152.0965127020785,4.360915596985522
bebes,411764.89,3065,2885,919,142.72613171577123,3.029544469297706
bebidas,22428.7,379,297,81,75.51750841750842,0.16501830459254907
beleza_saude,1258681.34,9670,8836,2444,142.4492236306021,9.260699940214003
brinquedos,483946.6,4117,3886,1411,124.53592382913021,3.5606186468822756
cama_mesa_banho,1036988.68,11115,9417,3029,110.1187936710205,7.629604651864147
casa_conforto,58572.04,434,397,111,147.53662468513855,0.4309415497700253
casa_conforto_2,760.27,30,24,5,31.677916666666665,0.005593657520613199
casa_construcao,83088.12,604,490,225,169.5675918367347,0.6113176730787904
cds_dvds_musicais,730.0,14,12,1,60.833333333333336,0.005370947150417135
cine_foto,6933.46,72,65,28,106.66861538461538,0.05101266743771396
climatizacao,55024.96,297,253,124,217.4899604743083,0.40484404399153
consoles_games,157465.22,1137,1062,317,148.27233521657251,1.1585443488339828
construcao_ferramentas_construcao,144677.59,929,748,400,193.41923796791443,1.0644598489585186
construcao_ferramentas_ferramentas,15903.95,103,97,39,163.95824742268042,0.1170127053875022
construcao_ferramentas_iluminacao,41080.0,304,244,78,168.36065573770492,0.30224453279333685
construcao_ferramentas_jardim,25715.89,238,194,88,132.55613402061854,0.18920367961087742
construcao_ferramentas_seguranca,40544.52,194,167,91,242.78155688622752,0.29830475912195964
cool_stuff,635290.85,3796,3632,789,174.91488160792952,4.674128192456959
dvds_blu_ray,5999.39,64,59,48,101.68457627118644,0.04414028304759049
eletrodomesticos,80171.53,771,764,370,104.93655759162303,0.58985897342203
eletrodomesticos_2,113317.74,238,234,90,484.2638461538462,0.833730948965356
eletronicos,160246.74,2767,2550,517,62.84185882352941,1.179009276118679
eletroportateis,190648.58,679,630,231,302.6167936507936,1.4026896540850318
esporte_lazer,988048.97,8641,7720,2867,127.98561787564766,7.269532602594637
fashion_bolsas_e_acessorios,152823.54,2031,1864,849,81.98687768240343,1.1243933653146017
fashion_calcados,23562.77,262,240,173,98.17820833333333,0.17336218135264983
fashion_esporte,2119.51,30,27,19,78.50037037037038,0.015594213965452911
fashion_roupa_feminina,2803.64,48,39,27,71.88820512820513,0.02062767434081575
fashion_roupa_infanto_juvenil,569.85,8,8,5,71.23125,0.004192649635157815
fashion_roupa_masculina,10797.82,132,112,95,96.40910714285714,0.0794445487119413
fashion_underwear_e_moda_praia,9541.55,131,121,53,78.85578512396694,0.0702015901137844
ferramentas_jardim,485256.46,4347,3518,753,137.93532120523025,3.5702558918609686
flores,1110.04,33,29,14,38.27724137931035,0.008167076951847997
fraldas_higiene,1567.59,39,27,12,58.05888888888889,0.011533483621263559
industria_comercio_e_negocios,39669.61,268,235,68,168.80685106382978,0.2918676421748755
informatica_acessorios,911954.32,7827,6689,1639,136.33642098968454,6.709669118239173
instrumentos_musicais,191498.88,680,628,289,304.9345222929936,1.4089457038959905
la_cuisine,2054.99,14,13,10,158.07615384615383,0.015119510526898229
livros_importados,4639.85,60,53,31,87.54433962264152,0.03413751936419582
livros_interesse_geral,46856.88,553,512,216,91.51734375,0.34474770700470914
livros_tecnicos,19096.06,267,260,123,73.44638461538462,0.14049853293314335
malas_acessorios,140429.98,1092,1034,349,135.8123597678917,1.0332082204303226
market_place,28378.47,311,280,104,101.35167857142858,0.2087935103831482
moveis_colchao_e_estofado,4368.08,38,38,10,114.94947368421053,0.03213798195725217
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,281,248,94,186.8079435483871,0.34085921484242565
moveis_decoracao,729762.49,8334,6449,2657,113.15901535121723,5.369199679653169
moveis_escritorio,273960.7,1691,1273,309,215.20871956009427,2.015655398618197
moveis_quarto,20028.78,109,95,45,210.82926315789473,0.14736098474976947
moveis_sala,68916.56,503,422,156,163.30938388625592,0.5070509610254131
musica,6034.35,38,38,27,158.79868421052632,0.04439749991386253
papelaria,230943.23,2517,2311,849,99.93216356555604,1.6991560042145606
pc_gamer,1545.95,9,8,3,193.24375,0.011374268146832015
pcs,222963.13,203,181,30,1231.840497237569,1.6404427229062812
perfumaria,399124.87,3419,3162,868,126.22544908285894,2.936546004365904
pet_shop,214315.41,1947,1710,719,125.33064912280702,1.5768174529177807
portateis_casa_forno_e_cafe,47445.71,76,75,31,632.6094666666667,0.3490800012657778
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,15,14,10,283.46642857142854,0.02919830807513002
relogios_presentes,1205005.68,5991,5624,1329,214.2613229018492,8.865783319496524
seguros_e_servicos,283.28999999999996,2,2,2,141.64499999999998,0.002084295367454343
sinalizacao_e_seguranca,21509.23,199,140,93,153.63735714285713,0.15825333914543394
tablets_impressao_imagem,7528.41,83,79,9,95.29632911392405,0.055389989365303934
telefonia,323667.53,4545,4199,1134,77.08205048821148,2.3813715040219905
telefonia_fixa,59583.0,264,217,116,274.57603686635946,0.43837964940178653
unknown,179535.28,1603,1451,610,123.73210199862164,1.3209239733086884
utilidades_domesticas,632248.66,6964,5884,2335,107.45218558803536,4.6517453955918535
