product_category_name,revenue,units,orders,revenue_share_pct
beleza_saude,1258681.34,9670,8836,9.260699940214003
relogios_presentes,1205005.68,5991,5624,8.865783319496522
cama_mesa_banho,1036988.68,11115,9417,7.629604651864145
esporte_lazer,988048.97,8641,7720,7.269532602594637
informatica_acessorios,911954.32,7827,6689,6.709669118239173
moveis_decoracao,729762.49,8334,6449,5.369199679653168
cool_stuff,635290.85,3796,3632,4.674128192456958
utilidades_domesticas,632248.66,6964,5884,4.651745395591853
automotivo,592720.11,4235,3897,4.360915596985522
ferramentas_jardim,485256.46,4347,3518,3.5702558918609677
brinquedos,483946.6,4117,3886,3.560618646882275
bebes,411764.89,3065,2885,3.0295444692977056
perfumaria,399124.87,3419,3162,2.9365460043659035
telefonia,323667.53,4545,4199,2.38137150402199
moveis_escritorio,273960.7,1691,1273,2.015655398618197
papelaria,230943.23,2517,2311,1.6991560042145601
pcs,222963.13,203,181,1.6404427229062812
pet_shop,214315.41,1947,1710,1.5768174529177807
instrumentos_musicais,191498.88,680,628,1.4089457038959903
eletroportateis,190648.58,679,630,1.4026896540850315
unknown,179535.28,1603,1451,1.3209239733086882
eletronicos,160246.74,2767,2550,1.1790092761186788
consoles_games,157465.22,1137,1062,1.1585443488339826
fashion_bolsas_e_acessorios,152823.54,2031,1864,1.1243933653146014
construcao_ferramentas_construcao,144677.59,929,748,1.0644598489585186
malas_acessorios,140429.98,1092,1034,1.0332082204303223
eletrodomesticos_2,113317.74,238,234,0.8337309489653558
casa_construcao,83088.12,604,490,0.6113176730787903
eletrodomesticos,80171.53,771,764,0.58985897342203
agro_industria_e_comercio,72530.47,212,182,0.5336401659793364
moveis_sala,68916.56,503,422,0.507050961025413
telefonia_fixa,59583.0,264,217,0.43837964940178653
casa_conforto,58572.04,434,397,0.4309415497700253
climatizacao,55024.96,297,253,0.4048440439915299
audio,50688.5,364,350,0.37293870497797116
portateis_casa_forno_e_cafe,47445.71,76,75,0.34908000126577776
livros_interesse_geral,46856.88,553,512,0.3447477070047091
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,281,248,0.3408592148424256
construcao_ferramentas_iluminacao,41080.0,304,244,0.30224453279333685
construcao_ferramentas_seguranca,40544.52,194,167,0.29830475912195964
industria_comercio_e_negocios,39669.61,268,235,0.2918676421748755
alimentos,29393.41,510,450,0.21626089271307192
market_place,28378.47,311,280,0.20879351038314817
construcao_ferramentas_jardim,25715.89,238,194,0.1892036796108774
artes,24202.64,209,202,0.17807000046653668
fashion_calcados,23562.77,262,240,0.1733621813526498
bebidas,22428.7,379,297,0.16501830459254904
sinalizacao_e_seguranca,21509.23,199,140,0.1582533391454339
moveis_quarto,20028.78,109,95,0.14736098474976944
livros_tecnicos,19096.06,267,260,0.14049853293314335
construcao_ferramentas_ferramentas,15903.95,103,97,0.11701270538750218
alimentos_bebidas,15179.48,278,227,0.11168244500111492
fashion_roupa_masculina,10797.82,132,112,0.07944454871194129
fashion_underwear_e_moda_praia,9541.55,131,121,0.07020159011378439
artigos_de_natal,8800.82,153,128,0.06475169739771798
tablets_impressao_imagem,7528.41,83,79,0.05538998936530392
cine_foto,6933.46,72,65,0.05101266743771396
musica,6034.35,38,38,0.04439749991386252
dvds_blu_ray,5999.39,64,59,0.04414028304759049
livros_importados,4639.85,60,53,0.03413751936419582
artigos_de_festas,4485.18,43,39,0.03299954073987387
moveis_colchao_e_estofado,4368.08,38,38,0.03213798195725216
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,15,14,0.02919830807513002
fashion_roupa_feminina,2803.64,48,39,0.020627674340815746
fashion_esporte,2119.51,30,27,0.015594213965452908
la_cuisine,2054.99,14,13,0.015119510526898229
artes_e_artesanato,1814.01,24,23,0.013346509370312584
fraldas_higiene,1567.59,39,27,0.011533483621263555
pc_gamer,1545.95,9,8,0.011374268146832013
flores,1110.04,33,29,0.008167076951847995
casa_conforto_2,760.27,30,24,0.0055936575206131985
cds_dvds_musicais,730.0,14,12,0.0053709471504171345
fashion_roupa_infanto_juvenil,569.85,8,8,0.004192649635157814
seguros_e_servicos,283.28999999999996,2,2,0.0020842953674543425
