order_year_month,revenue,orders,units,AOV,previous_month_revenue,mom_growth_pct
2016-09,267.36,4,6,66.84,,
2016-10,49507.66,324,363,152.80141975308644,267.36,18417.227707959308
2016-12,10.9,1,1,10.9,49507.66,-99.97798320502322
2017-01,120312.87,800,955,150.3910875,10.9,1103687.7981651376
2017-02,247303.02,1780,1951,138.9342808988764,120312.87,105.54992994515051
2017-03,374344.3,2682,3000,139.57654735272183,247303.02,51.37069494743736
2017-04,359927.23,2404,2684,149.7201455906822,374344.3,-3.851286102125772
2017-05,506071.14,3700,4136,136.7759837837838,359927.23,40.60373815006996
2017-06,433038.6,3245,3583,133.44795069337442,506071.14,-14.431279365189653
2017-07,498031.48,4026,4519,123.7037953303527,433038.6,15.008565056325235
2017-08,573971.68,4331,4910,132.52636342646042,498031.48,15.248072270451674
2017-09,624401.6900000001,4285,4831,145.71801400233375,573971.68,8.786149518735838
2017-10,664219.43,4631,5322,143.4289419131937,624401.6900000001,6.376943022047232
2017-11,1010271.37,7544,8665,133.9172017497349,664219.43,52.09903901787395
2017-12,743914.17,5673,6308,131.13241142252778,1010271.37,-26.364916190785447
2018-01,950030.36,7269,8208,130.69615628009353,743914.17,27.706985336762695
2018-02,844178.71,6728,7672,125.47245986920332,950030.36,-11.14192287497002
2018-03,983213.4400000001,7211,8217,136.349111080294,844178.71,16.46982189351827
2018-04,996647.75,6939,7975,143.62988182735265,983213.4400000001,1.3663676118991965
2018-05,996517.68,6873,7925,144.99020515058928,996647.75,-0.013050749374585833
2018-06,865124.31,6167,7078,140.28284579211936,996517.68,-13.185252267676775
2018-07,895507.22,6292,7092,142.32473299427843,865124.31,3.511970435786264
2018-08,854686.33,6512,7248,131.2479007985258,895507.22,-4.558409925494517
2018-09,145.0,16,1,9.0625,854686.33,-99.98303471169359
2018-10,0.0,4,0,0.0,145.0,-100.0
