customer_state,orders,avg_delivery_days,median_delivery_days,delayed_orders,delay_rate_pct
RR,41,29.387546014001806,25.00730324074074,5,12.195121951219512
AP,67,27.185067716970703,24.347025462962964,3,4.477611940298507
AM,145,26.42599090038314,25.875138888888888,6,4.137931034482759
AL,397,24.543855361974067,22.332916666666666,95,23.929471032745592
PA,946,23.77291691136168,21.078391203703703,117,12.367864693446089
MA,717,21.572976474120562,19.190601851851852,141,19.665271966527197
SE,335,21.519788280818133,18.014305555555556,51,15.223880597014924
CE,1279,21.26657863492891,18.20920138888889,196,15.32447224394058
AC,80,21.035712962962965,18.356527777777778,3,3.75
PB,517,20.426767609606706,18.15244212962963,57,11.02514506769826
PI,476,19.45709826291628,16.29226851851852,76,15.966386554621847
RO,243,19.37203651310776,17.582361111111112,7,2.880658436213992
BA,3256,19.335465824489262,16.91396412037037,457,14.035626535626536
RN,474,19.278156206047818,16.060254629629632,51,10.759493670886076
PE,1593,18.448322994408407,15.702766203703703,172,10.797237915881984
MT,886,18.05575601172561,16.109050925925924,60,6.772009029345373
TO,274,17.65806260982698,15.865885416666668,35,12.773722627737227
ES,1995,15.789307110368513,13.636956018518518,244,12.230576441102757
MS,701,15.618319018465684,13.943796296296297,81,11.554921540656206
GO,1957,15.606338535456764,13.949606481481482,160,8.175779253960142
RJ,12353,15.310052815555375,12.041307870370371,1664,13.470412045656927
RS,5344,15.300276192406853,13.177488425925926,382,7.1482035928143715
SC,3547,14.959297453377397,13.016400462962963,346,9.754722300535663
DF,2080,12.96756810897436,11.364924768518518,147,7.0673076923076925
MG,11355,12.010258342914689,10.313645833333334,638,5.618670189343901
PR,4923,11.991582227413277,10.42550925925926,246,4.996953077391835
SP,40495,8.76135656379617,7.210289351851852,2387,5.8945548833189285
