customer_state,orders,avg_delivery_days,median_delivery_days,delayed_orders,delay_rate_pct
AL,397,24.543855361974067,22.332916666666666,95,23.929471032745592
MA,717,21.572976474120562,19.190601851851852,141,19.665271966527197
PI,476,19.45709826291628,16.29226851851852,76,15.966386554621847
CE,1279,21.26657863492891,18.20920138888889,196,15.32447224394058
SE,335,21.519788280818133,18.014305555555556,51,15.223880597014924
BA,3256,19.335465824489262,16.91396412037037,457,14.035626535626536
RJ,12353,15.310052815555375,12.041307870370371,1664,13.470412045656927
TO,274,17.65806260982698,15.865885416666668,35,12.773722627737227
PA,946,23.77291691136168,21.078391203703703,117,12.367864693446089
ES,1995,15.789307110368513,13.636956018518518,244,12.230576441102757
RR,41,29.387546014001806,25.00730324074074,5,12.195121951219512
MS,701,15.618319018465684,13.943796296296297,81,11.554921540656206
PB,517,20.426767609606706,18.15244212962963,57,11.02514506769826
PE,1593,18.448322994408407,15.702766203703703,172,10.797237915881984
RN,474,19.278156206047818,16.060254629629632,51,10.759493670886076
